created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-03-23T19:00:02+00:00,1,0,10,20,,,,
2024-04-25T08:14:45+00:00,2,,,,,,,
2024-04-25T08:15:00+00:00,3,,,,,,,
2024-04-25T08:15:15+00:00,4,,,,,,,
2024-04-25T08:15:30+00:00,5,,,,,,,
2024-04-25T08:15:45+00:00,6,,,,,,,
2024-04-25T08:16:00+00:00,7,,,,,,,
2024-04-25T08:16:16+00:00,8,,,,,,,
2024-04-25T08:16:31+00:00,9,,,,,,,
2024-04-25T08:16:46+00:00,10,,,,,,,
2024-04-25T08:17:01+00:00,11,,,,,,,
2024-04-25T08:17:16+00:00,12,,,,,,,
2024-04-25T08:17:31+00:00,13,,,,,,,
2024-04-25T08:17:46+00:00,14,,,,,,,
2024-04-25T08:18:02+00:00,15,,,,,,,
2024-04-25T08:18:17+00:00,16,,,,,,,
2024-04-25T08:18:32+00:00,17,,,,,,,
2024-04-25T08:19:09+00:00,18,,,,,,,
2024-04-25T08:19:24+00:00,19,,,,,,,
2024-04-25T08:19:39+00:00,20,,,,,,,
2024-04-25T08:19:54+00:00,21,,,,,,,
2024-04-25T08:20:09+00:00,22,,,,,,,
2024-04-25T08:20:24+00:00,23,,,,,,,
2024-04-25T08:20:39+00:00,24,,,,,,,
2024-04-25T08:20:55+00:00,25,,,,,,,
2024-04-25T08:21:10+00:00,26,,,,,,,
2024-04-25T08:21:25+00:00,27,,,,,,,
2024-04-25T08:21:40+00:00,28,,,,,,,
2024-04-25T08:23:19+00:00,29,26.2,,,,,,
2024-04-25T08:23:34+00:00,30,26.2,,,,,,
2024-04-25T08:23:35+00:00,31,,,1528.8,,,,
2024-04-25T08:23:50+00:00,32,26.2,,,,,,
2024-04-25T08:24:05+00:00,33,26.2,,,,,,
2024-04-25T08:24:20+00:00,34,26.2,,,,,,
2024-04-25T08:24:21+00:00,35,,,1531.4,,,,
2024-04-25T08:24:36+00:00,36,26.2,,,,,,
2024-04-25T08:25:03+00:00,37,26.2,,,,,,
2024-04-25T08:25:04+00:00,38,,42.9,,,,,
2024-04-25T08:25:05+00:00,39,,,1540.1,,,,
2024-04-25T08:25:20+00:00,40,26.3,,,,,,
2024-04-25T08:25:21+00:00,41,,43.0,,,,,
2024-04-25T08:25:22+00:00,42,,,1541.2,,,,
2024-04-25T08:25:37+00:00,43,26.3,,,,,,
2024-04-25T08:25:38+00:00,44,,43.0,,,,,
2024-04-25T08:25:39+00:00,45,,,1543.0,,,,
2024-04-25T08:25:54+00:00,46,26.3,,,,,,
2024-04-25T08:25:55+00:00,47,,43.1,,,,,
2024-04-25T08:25:57+00:00,48,,,1541.3,,,,
2024-04-25T08:26:12+00:00,49,26.3,,,,,,
2024-04-25T08:26:13+00:00,50,,43.0,,,,,
2024-04-25T08:26:14+00:00,51,,,1539.1,,,,
2024-04-25T08:26:29+00:00,52,26.3,,,,,,
2024-04-25T08:26:30+00:00,53,,43.1,,,,,
2024-04-25T08:26:31+00:00,54,,,1541.9,,,,
2024-04-25T08:26:46+00:00,55,26.3,,,,,,
2024-04-25T08:26:47+00:00,56,,43.1,,,,,
2024-04-25T08:26:48+00:00,57,,,1541.8,,,,
2024-04-25T08:27:04+00:00,58,26.3,,,,,,
2024-04-25T08:27:05+00:00,59,,43.2,,,,,
2024-04-25T08:27:06+00:00,60,,,1543.7,,,,
2024-04-25T08:27:21+00:00,61,26.3,,,,,,
2024-04-25T08:27:22+00:00,62,,43.1,,,,,
2024-04-25T08:27:23+00:00,63,,,1544.2,,,,
2024-04-25T08:27:38+00:00,64,26.3,,,,,,
2024-04-25T08:27:39+00:00,65,,43.2,,,,,
2024-04-25T08:27:40+00:00,66,,,1545.9,,,,
2024-04-25T08:27:57+00:00,67,,43.3,,,,,
2024-04-25T08:28:12+00:00,68,26.3,,,,,,
2024-04-25T08:28:14+00:00,69,,43.2,,,,,
2024-04-25T08:28:15+00:00,70,,,1551.4,,,,
2024-04-25T08:28:30+00:00,71,26.4,,,,,,
2024-04-25T08:28:31+00:00,72,,43.3,,,,,
2024-04-25T08:28:32+00:00,73,,,1553.3,,,,
2024-04-25T08:28:47+00:00,74,26.3,,,,,,
2024-04-25T08:28:48+00:00,75,,43.3,,,,,
2024-04-25T08:28:49+00:00,76,,,1558.4,,,,
2024-04-25T08:29:14+00:00,77,26.4,,,,,,
2024-04-25T08:29:15+00:00,78,,43.3,,,,,
2024-04-25T08:29:16+00:00,79,,,1564.6,,,,
2024-05-02T06:12:23+00:00,80,23.8,,,,,,
2024-05-02T06:12:25+00:00,81,,49.9,,,,,
2024-05-02T06:12:41+00:00,82,24.0,,,,,,
2024-05-02T06:12:42+00:00,83,,49.5,,,,,
2024-05-02T06:12:43+00:00,84,,,1186.8,,,,
2024-05-02T06:12:58+00:00,85,24.1,,,,,,
2024-05-02T06:12:59+00:00,86,,49.3,,,,,
2024-05-02T06:13:00+00:00,87,,,1170.7,,,,
2024-05-02T06:13:15+00:00,88,24.2,,,,,,
2024-05-02T06:13:16+00:00,89,,49.3,,,,,
2024-05-02T06:13:17+00:00,90,,,1120.6,,,,
